Name,Na23,Al27,Si28,Si29,Si30,Ca40,Ca42,Ca43,Ca44,H,Li6,Li7,Be9,B10,B11,F19,Mg24,Mg25,Mg26,P31,S32,S33,S34,Cl35,Cl37,K39,K40,K41,Sc45,Ti46,Ti47,Ti48,Ti49,Ti50,V50,V51,Cr52,Cr53,Mn55,Fe56,Fe57,Co59,Ni60,Cu63,Cu65,Zn66,Ga71,Ge72,Ge74,As75,Se77,Se78,Se82,Br79,Br81,Rb87,Rb85,Sr84,Sr86,Sr87,Sr88,Y89,Zr90,Zr91,Zr92,Zr94,Zr96,Nb93,Mo92,Mo94,Mo95,Mo96,Mo97,Mo98,Mo100,Rh103,Pd102,Pd103,Pd104,Pd105,Pd106,Pd107,Pd108,Pd109,Pd110,Ag107,Ag109,Cd106,Cd107,Cd108,Cd109,Cd110,Cd111,Cd112,Cd113,Cd114,Cd115,Cd116,In113,In115,Sn114,Sn115,Sn116,Sn117,Sn118,Sn119,Sn120,Sb121,Sb123,Te120,Te121,Te122,Te123,Te124,Te125,Te126,Te127,Te128,Te129,Te130,Cs133,Ba130,Ba131,Ba132,Ba133,Ba134,Ba135,Ba136,Ba137,Ba138,La138,La139,Ce136,Ce137,Ce138,Ce139,Ce140,Ce141,Ce142,Pr141,Nd142,Nd143,Nd144,Nd145,Nd146,Nd147,Nd148,Nd149,Nd150,Sm144,Sm145,Sm146,Sm147,Sm148,Sm149,Sm150,Sm151,Sm152,Sm153,Sm154,Eu151,Eu153,Gd152,Gd153,Gd154,Gd155,Gd156,Gd157,Gd158,Gd159,Gd160,Tb159,Dy156,Dy157,Dy158,Dy159,Dy160,Dy161,Dy162,Dy163,Dy164,Ho165,Er162,Er163,Er164,Er165,Er166,Er167,Er168,Er169,Er170,Tm169,Yb168,Yb169,Yb170,Yb171,Yb172,Yb173,Yb174,Yb175,Yb176,Lu175,Lu176,Hf174,Hf175,Hf176,Hf177,Hf178,Hf179,Hf180,Ta180,Ta181,W180,W181,W182,W183,W184,W185,W186,Re185,Re187,Pt190,Pt192,Pt195,Au197,Hg202,Tl203,Tl205,Pb204,Pb205,Pb206,Pb207,Pb208,Bi209,Th232,U234,U235,U236,U237,U238
SRM 610,99408.89064,10320.3887,325802.1397,325802.1397,325802.1397,81474.7474,81474.7474,81474.7474,81474.7474,15,485,485,466,356,356,304,465,465,465,434,575,575,575,274,274,486,486,486,441,434,434,434,434,434,442,442,442,442,485,458,458,405,458.7,430,430,456,438,426,426,317,109,109,109,93,93,425.7,425.7,515.5,515.5,515.5,515.5,450,419,419,419,419,419,419,410,410,410,410,410,410,410,1.3,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,239,239,259,259,259,259,259,259,259,259,259,259,259,441,441,441,396,396,396,396,396,396,369,369,302,302,302,302,302,302,302,302,302,302,302,361,435,435,435,435,435,435,435,435,435,457,457,448,448,448,448,448,448,448,430,431,431,431,431,431,431,431,431,431,451,451,451,451,451,451,451,451,451,451,451,461,461,444,444,444,444,444,444,444,444,444,443,427,427,427,427,427,427,427,427,427,449,426,426,426,426,426,426,426,426,426,420,445,445,445,445,445,445,445,445,445,435,435,432,432,432,432,432,432,432,452,452,445,445,445,445,445,445,445,47,47,3.2,3.2,3.2,23.6,,61,61,426,426,426,426,426,358,457.2,461.5,461.5,461.5,461.5,461.5
GSE-1G,28932.44092,68802.59131,251012.5524,251012.5524,251012.5524,52887.11674,52887.11674,52887.11674,52887.11674,0,430,430,490,330,330,0,21709.29229,21709.29229,21709.29229,70,0,0,0,0,0,21800,21800,21800,530,449.5560775,449.5560775,449.5560775,449.5560775,449.5560775,440,440,400,400,590,98718.50225,98718.50225,380,440,380,380,460,490,320,320,260,20,20,20,0,0,356,356,447,447,447,447,410,410,410,410,410,410,420,390,390,390,390,390,390,390,0,0,0,0,0,0,0,0,0,0,200,200,160,160,160,160,160,160,160,160,160,160,160,370,370,280,280,280,280,280,280,280,450,450,0,0,0,0,0,0,0,0,0,0,0,310,427,427,427,427,427,427,427,427,427,392,392,414,414,414,414,414,414,414,460,453,453,453,453,453,453,453,453,453,488,488,488,488,488,488,488,488,488,488,488,410,410,514,514,514,514,514,514,514,514,514,480,524,524,524,524,524,524,524,524,524,501,595,595,595,595,595,595,595,595,595,500,520,520,520,520,520,520,520,520,520,518,518,395,395,395,395,395,395,395,390,390,430,430,430,430,430,430,430,78.9,78.9,30,30,30,7,,2,2,378,378,378,378,378,320,380,420,420,420,420,420
GSD-1G,26706.86854,70919.59412,248675.3778,248675.3778,248675.3778,51457.7352,51457.7352,51457.7352,51457.7352,0,43,43,46,50,50,0,21709.29229,21709.29229,21709.29229,860,0,0,0,0,0,25300,25300,25300,52,7432.660481,7432.660481,7432.660481,7432.660481,7432.660481,44,44,42,42,220,103382.3685,103382.3685,40,58,42,42,54,54,32,32,27,2,2,2,0,0,37.3,37.3,69.4,69.4,69.4,69.4,42,42,42,42,42,42,42,39,39,39,39,39,39,39,0,0,0,0,0,0,0,0,0,0,23,23,18,18,18,18,18,18,18,18,18,18,18,38,38,29,29,29,29,29,29,29,43,43,0,0,0,0,0,0,0,0,0,0,0,32,67,67,67,67,67,67,67,67,67,39.1,39.1,41.4,41.4,41.4,41.4,41.4,41.4,41.4,45,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,44.7,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,47.8,41,41,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,50.7,47,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,51.2,49,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,40.1,49,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,50.9,51.5,51.5,39,39,39,39,39,39,39,40,40,43,43,43,43,43,43,43,0,0,6,6,6,4,,0.9,0.9,50,50,50,50,50,35,41,41,41,41,41,41
NODA,7419.354839,20488.23529,17780,17780,17780,110000,110000,110000,110000,0,76.1,76.1,5.6,5.6,0,0,28560,28560,28560,5283.098592,0,0,0,0,0,4978.723404,4978.723404,4978.723404,0,3177,3177,3177,3177,3177,770,770,0,0,185140,136500,136500,3110,6360,1100,1100,590,6.3,0,0,310,0,0,0,0,0,10,10,1750,1750,1750,1750,116,0,0,0,0,0,43.1,448,448,448,448,448,448,448,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,0,0,3,3,3,3,3,3,3,33.8,33.8,31,31,31,31,31,31,31,31,31,31,31,0.6,1670,1670,1670,1670,1670,1670,1670,1670,1670,120,120,730,730,730,730,730,730,730,25,94,94,94,94,94,94,94,94,94,21,21,21,21,21,21,21,21,21,21,21,5,5,26,26,26,26,26,26,26,26,26,4,23,23,23,23,23,23,23,23,23,5,12,12,12,12,12,12,12,12,12,2.1,14,14,14,14,14,14,14,14,14,2.2,2.2,5,5,5,5,5,5,5,0.76,0.76,87,87,87,87,87,87,87,0,0,0,0,0,0,0,115,115,846,846,846,846,846,12.2,24,7,7,7,7,7
SRM 612,101634.4719,10743.78926,337020.5778,337020.5778,337020.5778,85048.20124,85048.20124,85048.20124,85048.20124,0.021,40.2,40.2,37.5,34.3,34.3,80,68,68,68,46.6,377,377,377,142,142,62.3,62.3,62.3,39.9,44,44,44,44,44,38.8,38.8,36.4,36.4,38.7,51,51,35.5,38.8,37.8,37.8,39.1,36.9,36.1,36.1,35.7,16.3,16.3,16.3,0,0,31.4,31.4,78.4,78.4,78.4,78.4,#REF!,37.9,37.9,37.9,37.9,37.9,38.9,37.4,37.4,37.4,37.4,37.4,37.4,37.4,0.91,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,22,22,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,38.9,38.9,38.6,38.6,38.6,38.6,38.6,38.6,38.6,34.7,34.7,0,0,0,0,0,0,0,0,0,0,0,42.7,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,36,36,38.4,38.4,38.4,38.4,38.4,38.4,38.4,37.9,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,37.7,35.6,35.6,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.3,37.6,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,35.5,38.3,38,38,38,38,38,38,38,38,38,36.8,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,39.2,37,37,36.7,36.7,36.7,36.7,36.7,36.7,36.7,37.6,37.6,38,38,38,38,38,38,38,6.63,6.63,2.51,2.51,2.51,4.77,,14.9,14.9,38.57,38.57,38.57,38.57,38.57,30.2,37.79,37.38,37.38,37.38,37.38,37.38
SRM 614,101634.4719,10796.71433,337020.5778,337020.5778,337020.5778,85048.20124,85048.20124,85048.20124,85048.20124,0.019,1.69,1.69,0.753,1.49,1.49,6.2,33.8,33.8,33.8,11.4,291,291,291,102,102,30,30,30,0.74,3.61,3.61,3.61,3.61,3.61,1.01,1.01,1.19,1.19,1.42,18.8,18.8,0.79,1.1,1.37,1.37,2.79,1.31,0.942,0.942,0.74,0.4,0.4,0.4,0,0,0.855,0.855,45.8,45.8,45.8,45.8,0.79,0.848,0.848,0.848,0.848,0.848,0.824,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.54,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,2.05,0.42,0.42,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.79,0.79,1.68,1.68,1.68,1.68,1.68,1.68,1.68,0.79,0.79,0,0,0,0,0,0,0,0,0,0,0,0.664,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,0.72,0.72,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.768,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.752,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.754,0.77,0.77,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.763,0.739,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.746,0.749,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.732,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.777,0.732,0.732,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.808,0.808,0.806,0.806,0.806,0.806,0.806,0.806,0.806,0.17,0.17,2.36,2.36,2.36,0.48,,0.273,0.273,2.32,2.32,2.32,2.32,2.32,0.581,0.748,0,0,0,0,0
GSC-1G,26706.86854,71448.84483,245870.7682,245870.7682,245870.7682,50743.04444,50743.04444,50743.04444,50743.04444,0,5.9,5.9,4.5,26,26,0,21709.29229,21709.29229,21709.29229,1000,0,0,0,0,0,25700,25700,25700,5.4,8211.891015,8211.891015,8211.891015,8211.891015,8211.891015,5.4,5.4,10.3,10.3,176,106491.6127,106491.6127,5.9,21,16,16,12.7,10,4,4,3.2,0.2,0.2,0.2,0,0,4.92,4.92,32.3,32.3,32.3,32.3,4.8,6.8,6.8,6.8,6.8,6.8,4.5,4.6,4.6,4.6,4.6,4.6,4.6,4.6,0,0,0,0,0,0,0,0,0,0,4.1,4.1,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,4.5,4.5,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0,0,0,0,0,0,0,0,0,0,0,3.5,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,34.8,4.36,4.36,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.8,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,5,5,5,5,5,5,5,5,5,5,5,4.4,4.4,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.1,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.41,5.1,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,5.2,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.33,5.33,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0,0,2,2,2,6,,0.27,0.27,14,14,14,14,14,3.4,4.2,4.7,4.7,4.7,4.7,4.7
MASS-1,24480.71,,,,,,,,,,,,,,,,,,,,276000,276000,276000,,,,,,,,,,,,63,63,37,37,260,156000,156000,67,,134000,134000,210000,50,50,50,65,53,53,,,,,,,,,,,,,,,,,61,61,61,61,61,61,61,,,,,,,,,,,,,70,70,70,70,70,70,70,70,70,70,70,50,50,55,55,55,55,55,55,55,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,57,,,,,,,,7,,,,,,
Bocai,15000,610,2120,2120,2120,6600,6600,6600,6600,,1.46,1.46,,25,52,0,5520,5520,5520,3600,4500,4500,4500,10800,10800,24900,24900,24900,0.093,28,28,28,28,28,0.87,0.87,1.4,1.4,41,540,540,0.22,0.92,8.9,8.9,35.3,,0.02,0.02,0.23,0.092,0.092,0.092,10,10,30,30,87,87,87,87,0.0002,,,,,,0.06,0.47,0.47,0.47,0.47,0.47,0.47,0.47,,,,,,,,,,,,,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,,,,,,,,,,0.043,0.043,,,,,,,,,,,,0.13,9,9,9,9,9,9,9,9,9,0.35,0.35,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.075,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.056,0.011,0.011,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.054,0.0072,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.0081,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.0031,,,,,,,,,,0.003,0.003,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,0.02,,,11.1,11.1,11.1,11.1,11.1,0.0135,0.114,0.089,0.089,0.089,0.089,0.089
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
